"[Pangeos] 철판닭강정*땅콩가루, 잔치국수, 떡볶이, 추가밥, 포기김치, 요구르트","[Dam-A] 뚝배기만두전골, 미트볼조림, 비엔나떡강정, 오이지무침, 포기김치, 기장밥","[Dam-A] 뚝배기참치김치찌개, 메추리알곤약조림, 미니돈가스*케찹, 양념깻잎지, 깍두기, 보리밥","[Dam-A] 철판오삼불고기, 콩나물국, 알옥수수김치전, 호박새우젓볶음, 포기김치, 차조밥","[Dam-A] 철판치즈닭갈비, 시금치된장국, 사각어묵간장볶음, 가지나물무침, 포기김치, 쌀밥"
,"[Pangeos] 바싹불고기샐러드비빔밥, 만두탕수, 미소장국, 참치펜네, 피클&할라피뇨, 베이비슈","[Pangeos] 슈니첼&레몬&베이비채소, 로제파스타, 크림스프, 김가루밥, 피클&할라피뇨, 미니호빵","[Pangeos] 코던블루*베이비채소, 야채볶음밥*짜장소스, 크림스프, 감자튀김*케찹, 포기김치, 이색푸딩",
"[Dam-A] 철판제육볶음&콩나물, 미역국, 볼어묵곤약조림, 오이지무침, 포기김치, 완두콩밥","[Dam-A] (뚝)황태해장국, 제육김치볶음*온두부, 부추장떡, 호박새우젓볶음, 깍두기, 통밀밥","[Dam-A] 뚝배기산나물밥*계란F, 근대된장국, 돈육데리야끼강정, 미역줄기볶음, 요구르트, 깍두기","[Dam-A] 돈육김치순두부찌개, 순대볶음, 아몬드건파래볶음, 콩나물무침, 깍두기, 차조밥","[Dam-A] 뚝배기설렁탕&소면, 광동식탕수육, 후랑크양파볶음, 마늘쫑무침, 깍두기, 기장밥"
"[Pangeos] 떡갈비구이*계란후라이, 아라비아따파스타, 크림스프, 후리가케밥, 피클&할라피뇨, 요구르트","[Pangeos] 순살파닭*머스타드소스, 야채볶음밥&춘장소스, 팽이버섯장국, 마카로니샐러드, 산고추지, 석류&사과푸딩","[Pangeos] 마파두부덮밥, 짜장쫄볶이, 짬뽕국물, 단무지무침, 후리가케밥, 화인쿨","[Pangeos] 스팸김치마요덮밥, 꼬치어묵국수, 춘권튀김, 참치펜네, 단무지, 바나나1/2","[Pangeos] 오므라이스&떡갈비조림, 데리야끼우동볶음, 팽이버섯미소장국, 콘샐러드, 포기김치, 새우칩"
"[Pangeos] 뚝배기날치알밥, 맑은우동국, 케이준치킨샐러드, 양념고추지무침, 포기김치, 건빵튀김","[Dam-A] (뚝)순살안동찜닭, 시금치된장국, 햄계란전*케찹, 숙주삼색나물, 포기김치, 통밀밥","[Dam-A] (뚝)사골우거지해장국, 산적데리야끼조림, 두부구이*양념장, 간장깻잎지, 깍두기, 기장밥","[Dam-A] 철판치즈닭갈비, 시래기된장국, 동그랑땡계란전, 미역초무침, 포기김치, 차조밥","[Dam-A] 철판제육볶음, 배추된장국, 버섯잡채, 오이지무침, 포기김치, 쌀밥"
,"[Pangeos] 철판오꼬노미돈가스, 교자칼국수, 김말이튀김, 후리가케밥, 피클&할라피뇨, 미니호빵","[Pangeos] 치킨커틀렛&베이비채소, 콩나물쫄면, 팽이장국, 김가루밥, 그린샐러드, 피클&할라피뇨","[Pangeos] 바싹불고기비빔밥, 잔치국수, 고구마맛탕, 오이미역초무침, 포기김치, 요구르트",
"[Dam-A] 철판오삼불고기&파채, 시금치된장국, 볼어묵곤약조림, 오이부추무침, 포기김치, 수수밥","[Dam-A] 제육김치찌개, 고갈비구이, 햄야채볶음, 치커리양파무침, 깍두기, 기장밥","[Dam-A] (뚝)전주비빔밥&계란후라이, 시래기된장국, 비엔나떡조림, 양념깻잎지, 포기김치, 화인쿨","[Dam-A] 뚝배기순두부찌개, 제육데리야끼강정&파채, 부들어묵매콤볶음, 돌나물적채무침, 포기김치, 완두콩밥","[Dam-A] 뚝배기육개장, 메추리알곤약조림, 알옥수수김치전, 숙주삼색나물, 깍두기, 흑미밥"
"[Pangeos] 토마토파스타&눈꽃치즈, 치킨가스*단호박*베이비채소, 크림스프, 김가루밥, 피클&할라피뇨, 사과&요거트푸딩","[Pangeos] 그릴소시지김치필라프, 유부우동, 감자튀김&케찹, 참치펜네, 피클&할라피뇨, 미니호빵","[Pangeos] 오므라이스&떡갈비조림, 케이준치킨샐러드, 팽이버섯미소시로, 마카로니샐러드, 포기김치, 화인쿨","[Pangeos] 참치김치마요덮밥, 꼬치어묵국수, 메가크런치, 돌나물적채무침, 산고추지, 오렌지","[Pangeos] 에그떡갈비스테이크, 교자칼국수, 사모사튀김, 그린샐러드&드레싱, 양배추비트초절이, 피크닉"
"[Pangeos] (철판)미트볼치즈오븐구이, 불닭볶음밥*맛김가루, 미소장국, 단호박샐러드, 피클*할라피뇨, 설탕꽈배기","[Dam-A] (뚝)제육간장불고기&당면, 쇠고기미역국, 계란찜, 호박새우젓볶음, 포기김치, 렌틸콩밥","[Dam-A] (뚝)뼈다귀해장국, 버섯잡채, 옛날소시지전, 참나물유자생채, 깍두기, 통밀밥","[Dam-A] 삼계국밥, 김치볶음&온두부, 후랑크브로콜리볶음, 미역줄기볶음, 깍두기, 차조밥","[Dam-A] (뚝)날치알밥, 얼갈이된장국, 미트볼파인애플조림, 오이지무침, 깍두기, 건빵튀김"
,"[Pangeos] 하와이안로코모코, 로제파스타, 콘샐러드, 피클&할라피뇨, 요구르트","[Pangeos] 슈니첼*레몬*베이비채소, 야채볶음밥*칠리소스, 크림스프, 그린샐러드&드레싱, 할라피뇨&피클, 바나나1/2","[Pangeos] 카레라이스&돈가스, 콩나물쫄면, 유부장국, 미역줄기볶음, 포기김치, 새우칩",
"[Dam-A] 뚝배기참치김치찌개, 제육데리야끼강정&파채, 삼색계란찜, 미역줄기볶음, 깍두기, 수수밥","[Dam-A] (뚝)제육간장불고기*당면사리, 콩나물국, 두부구이&양념장, 참나물유자생채, 포기김치, 흑미밥","[Dam-A] (뚝)산나물볶음밥&계란F, 근대된장국, 비엔나떡강정, 부추잡채, 양념깻잎지, 포기김치","[Dam-A] (뚝)말죽거리소고기국밥, 꽁치한마리구이*레몬, 연두부샐러드*오리엔탈D, 오이지무침, 깍두기, 통밀밥","[Dam-A] (뚝)콩비지찌개, 제육숙주굴소스볶음, 건파래아몬드볶음, 돌나물적채무침, 깍두기, 보리밥"
"[Pangeos] 바싹불고기샐러드비빔밥, 호박칼국수, 춘권튀김, 단호박샐러드, 산고추지, 이색푸딩","[Pangeos] 스팸김치마요덮밥, 유부국수, 감자튀김*치즈시즈닝, 참치펜네, 피클&할라피뇨, 요구르트","[Pangeos] 수제순살치킨*데리야끼*파채, 김치볶음밥*맛김가루, 팽이버섯미소시로, 콘샐러드, 수제피클, 새우칩","[Pangeos] 미트소스스파게티, 떡갈비구이&계란후라이, 크림스프, 김가루밥, 피클&할라피뇨, 튀김호빵","[Pangeos] 오므라이스&떡갈비조림, 짬뽕국수, 만두탕수, 마카로니후르츠샐러드, 단무지, 요구르트"
"[Pangeos] 철판닭강정*땅콩가루, 온모밀국수, 떡볶이, 후리가케밥, 포기김치, 화인쿨","[Dam-A] 전주식비빔밥*계란후라이, 시금치된장국, 후랑크케찹볶음, 야끼만두*초간장, 포기김치, 바나나 반개","[Dam-A] (뚝)김치콩나물수제비, 미트볼조림, 계란말이, 호박새우젓볶음, 깍두기, 쌀밥","[Dam-A] (철판)청양풍닭조림, 쇠고기미역국, 사각어묵볶음, 콩나물무침, 포기김치, 통밀밥","[Dam-A] (뚝)순두부찌개, 메추리알곤약조림, 동그랑땡전, 오이부추무침, 포기김치, 쌀밥"
,"[Pangeos] 철판오꼬노미함박조림, 꼬치어묵국수, 후리가케밥, 야끼만두*초간장, 피클&할라피뇨, 바나나 반개","[Pangeos] 폭찹스테이크덮밥&베이비채소, 국물파스타, 메가크런치, 그린샐러드&드레싱, 산고추지, 시나몬토스트","[Pangeos] 코던블루&베이비채소, 야채볶음밥&칠리소스, 유부장국, 푸실리케찹조림, 피클&할라피뇨, 레몬에이드",
"[Dam-A] 뚝배기순두부찌개, 파채돈육데리야끼볶음, 동그랑땡전, 돌나물적채무침, 포기김치, 흑미밥","[Dam-A] 뚝배기설렁탕&소면, 고갈비구이, 후랑크볶음, 숙주삼색나물, 깍두기, 완두콩밥","[Dam-A] 뚝배기전주비빔밥*계란F, 미역국, 순대떡강정, 미역줄기볶음, 포기김치, 바나나1/2","[Dam-A] (뚝)제육버섯불고기*당면, 열무된장국, 옛날소세지전&케찹, 콩나물무침, 포기김치, 기장밥","[Dam-A] 황태해장국, 광동식탕수육, 버섯잡채, 양념고추지, 포기김치, 수수밥"
"[Pangeos] 치킨커틀렛&눈꽃치즈, 김치볶음밥*맛김가루, 미니우동, 콘샐러드, 피클&할라피뇨, 새우칩","[Pangeos] 가츠돈가스카레덮밥, 호박칼국수, 메가크런치, 단무지무침, 포기김치, 화인쿨","[Pangeos] 에그떡갈비스테이크, 로제파스타, 유부장국, 후리가케밥, 피클&할라피뇨, 바나나1/2","[Pangeos] 오므라이스&코코넛새우가스, 유부우동, 춘권튀김, 산고추지, 포기김치, 레몬에이드","[Pangeos] 참치김치마요덮밥, 교자칼국수, 김말이튀김, 후르츠마카로니샐러드, 피클*할라피뇨, 요구르트"
"[Pangeos] 철판닭강정*땅콩가루, 잔치국수, 떡볶이, 추가밥, 포기김치, 요구르트","[Dam-A] 뚝배기만두전골, 미트볼조림, 비엔나떡강정, 오이지무침, 포기김치, 기장밥","[Dam-A] 뚝배기참치김치찌개, 메추리알곤약조림, 미니돈가스*케찹, 양념깻잎지, 깍두기, 보리밥","[Dam-A] 철판치즈닭갈비, 시금치된장국, 사각어묵간장볶음, 가지나물무침, 포기김치, 쌀밥","[Dam-A] 철판오삼불고기, 콩나물국, 알옥수수김치전, 호박새우젓볶음, 포기김치, 차조밥"
,"[Pangeos] 바싹불고기샐러드비빔밥, 만두탕수, 미소장국, 참치펜네, 피클&할라피뇨, 베이비슈","[Pangeos] 슈니첼&레몬&베이비채소, 매콤알리오올리오, 크림스프, 김가루밥, 피클&할라피뇨, 미니호빵","[Pangeos] 그릴소시지플레이트, 야채볶음밥&짜장소스, 팽이버섯미소장국, 메가크런치, 피클&할라피뇨, 이색푸딩",
"[Dam-A] (뚝)만두육개장, 고기산적조림, 계란말이, 오이지무침, 포기김치, 기장밥","[Dam-A] (뚝)산나물볶음밥&계란F, 미역국, 제육강정&파채, 매콤떡볶이, 양념깻잎지, 포기김치","[Dam-A] (뚝)순두부찌개, 치킨데리야끼볶음, 옛날소세지전&케찹, 숙주나물무침, 포기김치, 흑미밥","[Dam-A] 뚝배기삼겹살김치찌개, 자반고등어구이, 비엔나떡강정, 치커리유자생채, 깍두기, 통밀밥","[Dam-A] 철판제육볶음, 콩나물국, 모듬쌈&쌈장, 미나리무생채, 포기김치, 보리밥"
"[Pangeos] 참치김치마요덮밥, 꼬치어묵국수, 그린샐러드&드레싱, 고구마맛탕, 피클&할라피뇨, 새우칩","[Pangeos] 오므라이스&떡갈비, 유부우동, 사모사튀김, 콘샐러드, 반달단무지, 이색푸딩","[Pangeos] 치킨뽈로&양파채&베이비채소, 김치볶음밥&맛김가루, 팽이장국, 마카로니샐러드, 피클&할라피뇨, 미니호빵","[Pangeos] 바싹불고기샐러드비빔밥, 교자칼국수, 비엔나떡강정, 단호박샐러드, 포기김치, 요구르트","[Pangeos] 떡갈비구이&계란F&베이비, 미트소스스파게티, 미소장국, 후리가케밥, 오이피클&할라피뇨, 피크닉"
"[Pangeos] 철판눈꽃치즈돈가스, 매콤알리오올리오, 유부장국, 후리가케밥, 춘권튀김, 피클&할라피뇨, 요구르트","[Dam-A] 철판오삼불고기, 시래기된장국, 사각어묵간장볶음, 돌나물적채무침, 포기김치, 통밀밥","[Dam-A] (뚝)사골우거지해장국, 순대제육깻잎볶음, 연두부샐러드, 고추지, 깍두기, 발아현미밥","[Dam-A] 뚝배기안동찜닭, 시금치된장국, 해물동그랑땡계란전, 콩나물무침, 포기김치, 통밀밥","[Dam-A] 뚝배기뼈다귀해장국, 미트볼조림, 김치전, 참나물유자생채, 깍두기, 쌀밥"
,"[Pangeos] 피쉬앤칩스&샐러드, 로제스파게티, 팽이미소장국, 김가루밥, 피클&할라피뇨, 화인쿨","[Pangeos] 치킨커틀렛&단호박&베이비채소, 야채볶음밥&짜장, 팽이버섯미소장국, 김말이튀김, 피클&할라피뇨, 화인쿨","[Pangeos] 폭찹스테이크덮밥, 유린만두샐러드, 맑은우동국, 메가크런치, 피클&할라피뇨, 시나몬토스트",
